feature_name,feature_type
load,other
region_power,other
data_source_power,other
temp_c,weather
humidity,weather
wind_speed,weather
region_weather,other
data_source_weather,other
load_lag_1h,lag
load_lag_2h,lag
load_lag_3h,lag
load_lag_6h,lag
load_lag_12h,lag
load_lag_24h,lag
load_rolling_3h_mean,rolling
load_rolling_3h_std,rolling
load_rolling_3h_min,rolling
load_rolling_3h_max,rolling
load_rolling_6h_mean,rolling
load_rolling_6h_std,rolling
load_rolling_6h_min,rolling
load_rolling_6h_max,rolling
load_rolling_12h_mean,rolling
load_rolling_12h_std,rolling
load_rolling_12h_min,rolling
load_rolling_12h_max,rolling
load_rolling_24h_mean,rolling
load_rolling_24h_std,rolling
load_rolling_24h_min,rolling
load_rolling_24h_max,rolling
hour,temporal
day_of_week,temporal
month,temporal
day_of_year,temporal
is_weekend,temporal
is_business_hours,temporal
hour_sin,temporal_cyclic
hour_cos,temporal_cyclic
day_of_week_sin,temporal_cyclic
day_of_week_cos,temporal_cyclic
day_of_year_sin,temporal_cyclic
day_of_year_cos,temporal_cyclic
temp_c_squared,weather
cooling_degree_days,weather
heating_degree_days,weather
temp_humidity_interaction,weather
wind_chill_effect,weather
